atomic_task_id,site_id,preparation_start_s,service_start_s,service_end_s,uav_available_s
P01_GAMMA06_M004_00_A00,E52_d1d4424e0dfaa7a0ce62d445,-3.006595539757825,609.0685078566343,850.6856953566343,1587.0652075258129
P01_GAMMA06_M004_00_A00,E52_d7f1f5d49edaa9f52000c452,1.3051596275520296,609.0685078566343,850.6856953566343,1581.8143705307034
P01_GAMMA06_M004_00_A00,E52_dbe1bedc9b83d29f34556dbd,11.2082787378082,609.0685078566343,850.6856953566343,1569.6888685570848
P01_GAMMA06_M004_00_A00,E52_dc4c132291b7b9525a26c82f,142.6549604969071,609.0685078566343,850.6856953566343,1425.176828318168
P01_GAMMA06_M004_00_A00,E52_eb490529b308e18523949520,-18.86425036569267,609.0685078566343,850.6856953566343,1600.5037886111063
P01_GAMMA06_M004_00_A00,E52_eddf192c3626d88d236d26e4,157.34166604876538,609.0685078566343,850.6856953566343,1411.1592321107923
P01_GAMMA06_M004_00_A00,E52_ede4029bd5e695a7a0c85289,13.80515962755203,609.0685078566343,850.6856953566343,1565.1477038640369
P01_GAMMA06_M005_00_A00,E52_0c9d91fc306062a18ada9948,133.29633000519857,674.71875,960.859375,1631.1318860389094
P01_GAMMA06_M005_00_A00,E52_231de36c6439da832299e30f,128.45480171887323,674.71875,960.859375,1644.0167162254627
P01_GAMMA06_M005_00_A00,E52_27bf01e9e990859ae5993708,146.10492827835043,674.71875,960.859375,1615.9108681287134
P01_GAMMA06_M005_00_A00,E52_27bf1882d0e1a812c8450c72,130.68720215190564,674.71875,960.859375,1638.8203545090644
P01_GAMMA06_M005_00_A00,E52_27fdcb9bc2da20af468e67a1,131.1986433533226,674.71875,960.859375,1633.3643077982074
P01_GAMMA06_M005_00_A00,E52_2d7a36258a59c18fc6a856bf,145.99757031820565,674.71875,960.859375,1622.0309824365145
P01_GAMMA06_M005_00_A00,E52_3a94b6482baa2cfaba8a857d,138.70571944244705,674.71875,960.859375,1629.970398518165
P01_GAMMA06_M005_00_A00,E52_47db2d0d55c92154c779a4c9,152.09165075141874,674.71875,960.859375,1612.1812842257948
P01_GAMMA06_M005_00_A00,E52_8ca7795ffa642a3b129c0a3d,133.77266747977,674.71875,960.859375,1630.7716272589996
P01_GAMMA06_M005_00_A00,E52_8d375985c45fff9288668cb3,110.72272792806314,674.71875,960.859375,1666.0767954890916
P01_GAMMA06_M005_00_A00,E52_b60e4d2a4cdcd5801a5d757f,156.45851239729535,674.71875,960.859375,1606.485763522301
P01_GAMMA06_M005_00_A00,E52_c0294c7ff44d44fc4ede8d97,148.01091974075575,674.71875,960.859375,1619.8164382507807
P01_GAMMA06_M005_00_A00,E52_d6d1511afdebb88632549a71,121.94995609151897,674.71875,960.859375,1650.5368715045097
P01_GAMMA06_M005_00_A00,E52_dbec4f1422e98765afb262aa,142.1785383190841,674.71875,960.859375,1624.9596284899978
P01_GAMMA06_M005_00_A00,E52_de2c36302e014a6d0284c896,139.30697519642985,674.71875,960.859375,1625.5832032296769
P01_GAMMA06_M005_00_A00,E52_f2fabdd802684ffd17ed2273,189.50834764941192,674.71875,960.859375,1565.4644596626
P01_GAMMA06_M006_00_A00,E52_060143e4033ea7dfc142ce26,23.603434319224448,624.125,872.8229166666666,1595.799211809112
P01_GAMMA06_M006_00_A00,E52_0f45fcab7c66cb90fa618929,-13.773865312083274,624.125,872.8229166666666,1642.0426956750389
P01_GAMMA06_M006_00_A00,E52_12b142f00e8cb4e3948f96c2,11.531326921963114,624.125,872.8229166666666,1611.2968652167087
P01_GAMMA06_M006_00_A00,E52_132fcaf6d631eae41e83e018,-52.40213400648173,624.125,872.8229166666666,1692.7420601539425
P01_GAMMA06_M006_00_A00,E52_154bbd26b7808edf72eaa410,-30.78297820490957,624.125,872.8229166666666,1671.0210570216414
P01_GAMMA06_M006_00_A00,E52_2d291a2169e36d61d7bf7582,-56.2589036593983,624.125,872.8229166666666,1700.02223831516
P01_GAMMA06_M006_00_A00,E52_32cd7932ac3bc8f6e82bd016,-19.212220880218467,624.125,872.8229166666666,1647.0184378195088
P01_GAMMA06_M006_00_A00,E52_3322673a66874be8fb5ff9e0,21.851099802408612,624.125,872.8229166666666,1596.7986179099937
P01_GAMMA06_M006_00_A00,E52_4d215302190bc5bfb29bf912,106.61530820695367,624.125,872.8229166666666,1516.5799747927208
P01_GAMMA06_M006_00_A00,E52_67646c2afbeb5602853e5a9c,9.351099802408612,624.125,872.8229166666666,1613.4652845766605
P01_GAMMA06_M006_00_A00,E52_7e4744117cf2a1b6b8665ab3,-60.70109328547096,624.125,872.8229166666666,1703.5336392652885
P01_GAMMA06_M006_00_A00,E52_a0032802edd73d232f2c84c2,-68.36730875675022,624.125,872.8229166666666,1711.3948773195757
P01_GAMMA06_M006_00_A00,E52_aaa387ee3ee3170bd804334d,150.60342211704432,624.125,872.8229166666666,1472.051526816875
P01_GAMMA06_M006_00_A00,E52_b4122a9095172602242b40e3,-3.148900197591388,624.125,872.8229166666666,1630.131951243327
P01_GAMMA06_M006_00_A00,E52_be79b94db4a0a5b6faaed631,-25.16113208838135,624.125,872.8229166666666,1665.745158170738
P01_GAMMA06_M006_00_A00,E52_f4836ff0bfcbe7f74f580128,-32.70595360187991,624.125,872.8229166666666,1673.1766679166585
P01_GAMMA06_M006_00_A00,E52_fb97bb829fc82a7376005525,-69.86598174858727,624.125,872.8229166666666,1715.5129299907749
P01_GAMMA06_M015_00_A00,E52_06eb0baa948af7ff52881bcf,71.22464633907856,577.9843516784044,990.0468516784044,1618.4118513089088
P01_GAMMA06_M015_00_A00,E52_0c9d91fc306062a18ada9948,36.56193168360301,577.9843516784044,990.0468516784044,1660.3193627173139
P01_GAMMA06_M015_00_A00,E52_1eac4bbcd37cec5d48241661,92.32042921011777,577.9843516784044,990.0468516784044,1588.3561609061312
P01_GAMMA06_M015_00_A00,E52_214ce9a3b3bd3fa9c582335a,36.516996928879394,577.9843516784044,990.0468516784044,1655.3638422514973
P01_GAMMA06_M015_00_A00,E52_231de36c6439da832299e30f,31.720403397277664,577.9843516784044,990.0468516784044,1673.2041929038671
P01_GAMMA06_M015_00_A00,E52_246111a1ef063bec9e89ec9e,-45.12917160569913,577.9843516784044,990.0468516784044,1743.1168833446695
P01_GAMMA06_M015_00_A00,E52_24cc4f01335372459fb4c2ba,-42.27899655067779,577.9843516784044,990.0468516784044,1737.8421935191404
P01_GAMMA06_M015_00_A00,E52_27bf01e9e990859ae5993708,49.370529956754865,577.9843516784044,990.0468516784044,1645.0983448071179
P01_GAMMA06_M015_00_A00,E52_27bf1882d0e1a812c8450c72,33.952803830310074,577.9843516784044,990.0468516784044,1668.0078311874688
P01_GAMMA06_M015_00_A00,E52_27fdcb9bc2da20af468e67a1,34.464245031727046,577.9843516784044,990.0468516784044,1662.5517844766118
P01_GAMMA06_M015_00_A00,E52_2cea01313b8862fcfb6b2e63,108.38860270797261,577.9843516784044,990.0468516784044,1570.132134136792
P01_GAMMA06_M015_00_A00,E52_2d7a36258a59c18fc6a856bf,49.26317199661008,577.9843516784044,990.0468516784044,1651.218459114919
P01_GAMMA06_M015_00_A00,E52_326bd9096774308657b14836,113.77652141916019,577.9843516784044,990.0468516784044,1565.670581595852
P01_GAMMA06_M015_00_A00,E52_3a94b6482baa2cfaba8a857d,41.971321120851485,577.9843516784044,990.0468516784044,1659.1578751965694
P01_GAMMA06_M015_00_A00,E52_437c6a333219b14c3939f26c,90.88663893766937,577.9843516784044,990.0468516784044,1586.2581671209623
P01_GAMMA06_M015_00_A00,E52_44ed69e1d99dc074a7941a18,179.70879109016687,577.9843516784044,990.0468516784044,1489.0744872076414
P01_GAMMA06_M015_00_A00,E52_47db2d0d55c92154c779a4c9,55.35725242982318,577.9843516784044,990.0468516784044,1641.3687609041992
P01_GAMMA06_M015_00_A00,E52_4cf0fac9feb721651efb2830,125.2908026982243,577.9843516784044,990.0468516784044,1557.3757636651765
P01_GAMMA06_M015_00_A00,E52_515a3b7c8d98426ee13f2b4e,125.29899033736058,577.9843516784044,990.0468516784044,1552.102991166828
