pareto_id,sortie_id,uav_id,time,phase,x,y,z,distance_to_G01,los,L_fspl,L_path,L_max,M_C,M_C_LOS,direct_available
P02,M002,U02,1397.4033705199204,descent,322159.77709298226,2548777.043075919,377.2423865142265,4742.640581392403,0,113.57462909647656,123.57462909647656,122.0,-1.5746290964765564,8.425370903523444,0
P02,M002,U02,1397.4796006348108,descent,322148.7847644759,2548766.850342476,376.9126846901543,4727.6514417976705,0,113.54713382585818,123.54713382585818,122.0,-1.5471338258581824,8.452866174141818,0
P02,M002,U02,1397.555830749701,descent,322137.7924359695,2548756.657609033,376.5829828660822,4712.662335623544,0,113.51955130381938,123.51955130381938,122.0,-1.5195513038193837,8.480448696180616,0
P02,M002,U02,1397.6320608645913,descent,322126.80010746315,2548746.4648755896,376.25328104201003,4697.673263189299,0,113.49188097523675,123.49188097523675,122.0,-1.4918809752367537,8.508119024763246,0
P02,M002,U02,1397.7082909794817,descent,322115.8077789568,2548736.2721421462,375.92357921793786,4682.684224819255,0,113.46412227967772,123.46412227967772,122.0,-1.4641222796777242,8.535877720322276,0
P02,M002,U02,1397.784521094372,descent,322104.8154504504,2548726.0794087034,375.5938773938657,4667.695220841891,0,113.43627465133093,123.43627465133093,122.0,-1.4362746513309332,8.563725348669067,0
P02,M002,U02,1397.8607512092622,descent,322093.823121944,2548715.88667526,375.2641755697935,4652.706251588923,0,113.40833751893537,123.40833751893537,122.0,-1.4083375189353688,8.591662481064631,0
P02,M002,U02,1397.9369813241526,descent,322082.8307934376,2548705.6939418167,374.93447374572133,4637.717317397443,0,113.38031030571406,123.38031030571406,122.0,-1.3803103057140618,8.619689694285938,0
P02,M002,U02,1398.0132114390428,descent,322071.83846493124,2548695.501208374,374.60477192164916,4622.728418608778,0,113.35219242930069,123.35219242930069,122.0,-1.3521924293006862,8.647807570699314,0
P02,M002,U02,1398.089441553933,descent,322060.84613642487,2548685.3084749305,374.275070097577,4607.739555567786,0,113.32398330166563,123.32398330166563,122.0,-1.3239833016656348,8.676016698334365,0
P02,M002,U02,1398.1656716688235,descent,322049.8538079185,2548675.115741487,373.94536827350487,4592.750728624784,0,113.29568232904595,123.29568232904595,122.0,-1.2956823290459454,8.704317670954055,0
P02,M002,U02,1398.2419017837137,descent,322038.8614794121,2548664.9230080443,373.6156664494327,4577.761938134672,0,113.26728891186876,123.26728891186876,122.0,-1.2672889118687607,8.73271108813124,0
P02,M002,U02,1398.318131898604,descent,322027.8691509057,2548654.730274601,373.2859646253605,4562.773184456018,0,113.23880244467347,123.23880244467347,122.0,-1.2388024446734676,8.761197555326532,0
P02,M002,U02,1398.3943620134944,descent,322016.8768223993,2548644.5375411576,372.95626280128835,4547.784467953199,0,113.21022231603837,123.21022231603837,122.0,-1.2102223160383687,8.789777683961631,0
P02,M002,U02,1398.4705921283846,descent,322005.88449389295,2548634.3448077147,372.6265609772162,4532.7957889952795,0,113.18154790849991,123.18154790849991,122.0,-1.1815479084999083,8.818452091500092,0
P02,M002,U02,1398.5468222432748,descent,321994.8921653866,2548624.1520742713,372.296859153144,4517.807147955312,0,113.15277859847134,123.15277859847134,122.0,-1.1527785984713432,8.847221401528657,0
P02,M002,U02,1398.6230523581653,descent,321983.8998368802,2548613.959340828,371.9671573290718,4502.81854521227,0,113.12391375616524,123.12391375616524,122.0,-1.123913756165237,8.876086243834763,0
P02,M002,U02,1398.6992824730555,descent,321972.90750837384,2548603.766607385,371.6374555049997,4487.829981150186,0,113.09495274550912,123.09495274550912,122.0,-1.0949527455091186,8.905047254490881,0
P02,M002,U02,1398.7755125879457,descent,321961.9151798675,2548593.573873942,371.30775368092753,4472.841456157285,0,113.06589492405983,123.06589492405983,122.0,-1.0658949240598332,8.934105075940167,0
P02,M002,U02,1398.8517427028362,descent,321950.92285136104,2548583.3811404984,370.97805185685536,4457.85297062793,0,113.0367396429219,123.0367396429219,122.0,-1.0367396429219013,8.963260357078099,0
P02,M002,U02,1398.9279728177264,descent,321939.9305228547,2548573.1884070556,370.6483500327832,4442.864524961924,0,113.00748624665925,123.00748624665925,122.0,-1.007486246659255,8.992513753340745,0
P02,M002,U02,1399.0042029326166,descent,321928.9381943483,2548562.995673612,370.318648208711,4427.876119563405,0,112.97813407320493,122.97813407320493,122.0,-0.9781340732049273,9.021865926795073,0
P02,M002,U02,1399.080433047507,descent,321917.94586584193,2548552.802940169,369.98894638463884,4412.887754842997,0,112.94868245377526,122.94868245377526,122.0,-0.9486824537752625,9.051317546224737,0
P02,M002,U02,1399.1566631623973,descent,321906.95353733556,2548542.610206726,369.65924456056666,4397.899431216921,0,112.919130712777,122.919130712777,122.0,-0.9191307127770045,9.080869287222995,0
