site_id,x_m,y_m,agl_m,lon,lat,ground_elevation_m,z_amsl_m,backhaul_distance_m,backhaul_los,backhaul_margin_db
E52_b6789310c1ab16898a769b78,319247.01344372646,2550152.941957309,50.0,109.2357814977233,23.05007558605139,281.9690246582031,331.9690246582031,4634.550673878259,False,2.625622464396969
E52_92f6acb20b76d7a0508a3103,320835.89204342256,2548598.6511450717,200.0,109.25146517080819,23.036213880753518,161.90757751464844,361.90757751464844,3731.4787313833444,True,14.508155754179057
E52_db02c30dd1438ce9efe37738,320835.89204342256,2548598.6511450717,250.0,109.25146517080819,23.036213880753518,161.90757751464844,411.90757751464844,3734.6826211229404,True,14.500701151181644
E52_b07c34bc2543d19ed5850e63,320835.89204342256,2548598.6511450717,300.0,109.25146517080819,23.036213880753518,161.90757751464844,461.90757751464844,3738.552532500939,True,14.491705414943738
E52_b24d1439216649c1e668ecd0,320835.89204342256,2548718.6511450717,200.0,109.25145118543406,23.03729738219852,165.92433166503906,365.92433166503906,3830.179282535022,True,14.281393108884359
E52_db7b940abe15c8fd8a33aa16,320835.89204342256,2548718.6511450717,250.0,109.25145118543406,23.03729738219852,165.92433166503906,415.92433166503906,3833.353071336764,True,14.27419872917288
E52_820685027912024e3f62bd9e,320835.89204342256,2548718.6511450717,300.0,109.25145118543406,23.03729738219852,165.92433166503906,465.92433166503906,3837.175810761543,True,14.265541204765356
E52_4c1666c78b00e8e615affb3e,320835.89204342256,2548838.6511450717,250.0,109.25143719921431,23.03838088348716,167.23931884765625,417.23931884765625,3933.0275568273087,True,14.051235379519994
E52_67c3677a2d4a9db95430a4f2,320835.89204342256,2548838.6511450717,300.0,109.25143719921431,23.03838088348716,167.23931884765625,467.23931884765625,3936.770211054711,True,14.04297384981308
E52_ab44d56e8be96bbe874eca92,319459.6530816322,2547617.250076501,100.0,109.23815400587608,23.027203682447926,163.2486572265625,263.2486572265625,2204.485603155018,False,9.079629827318058
E52_6758d61e7cc2faf9003d0f09,319459.6530816322,2547617.250076501,150.0,109.23815400587608,23.027203682447926,163.2486572265625,313.2486572265625,2207.671089687139,True,19.06708775721708
E52_8752b98446f497c02b59f554,319459.6530816322,2547617.250076501,200.0,109.23815400587608,23.027203682447926,163.2486572265625,363.2486572265625,2211.9824831953474,True,19.05014149685539
